FamilyID,ChildID,FatherID,MotherID,Sex,Population,Superpopulation
1454,NA12802,NA12814,NA12815,F,CEU,EUR
1456,NA12817,NA12827,NA12828,M,CEU,EUR
1456,NA12818,NA12829,NA12830,F,CEU,EUR
1458,NA12832,NA12842,NA12843,F,CEU,EUR
1459,NA12864,NA12872,NA12873,M,CEU,EUR
1459,NA12865,NA12874,NA12875,F,CEU,EUR
1463,NA12877,NA12889,NA12890,M,CEU,EUR
1463,NA12878,NA12891,NA12892,F,CEU,EUR
Y001,NA18484,NA18486,NA18488,F,YRI,AFR
Y002,NA18485,NA18487,NA18489,M,YRI,AFR
Y003,NA18497,NA18498,NA18499,M,YRI,AFR
Y004,NA18500,NA18501,NA18502,M,YRI,AFR
Y005,NA18503,NA18504,NA18505,M,YRI,AFR
Y009,NA18506,NA18507,NA18508,M,YRI,AFR
Y013,NA18515,NA18516,NA18517,M,YRI,AFR
Y014,NA18518,NA18519,NA18520,F,YRI,AFR
Y016,NA18521,NA18522,NA18523,M,YRI,AFR
Y018,NA18854,NA18853,NA18852,M,YRI,AFR
Y023,NA18857,NA18856,NA18855,M,YRI,AFR
Y012,NA18860,NA18859,NA18858,M,YRI,AFR
Y024,NA18863,NA18862,NA18861,M,YRI,AFR
Y007,NA18869,NA18868,NA18867,M,YRI,AFR
Y017,NA18872,NA18871,NA18870,M,YRI,AFR
Y019,NA18875,NA18874,NA18873,F,YRI,AFR
Y020,NA18906,NA18877,NA18876,F,YRI,AFR
Y027,NA18911,NA18910,NA18909,M,YRI,AFR
Y028,NA18914,NA18913,NA18912,M,YRI,AFR
Y033,NA18925,NA18923,NA18924,M,YRI,AFR
Y030,NA18930,NA18917,NA18916,F,YRI,AFR
Y036,NA18935,NA18934,NA18933,M,YRI,AFR
Y040,NA19094,NA19092,NA19093,F,YRI,AFR
Y041,NA19097,NA19096,NA19095,F,YRI,AFR
Y105,NA19100,NA19098,NA19099,F,YRI,AFR
Y042,NA19103,NA19101,NA19102,M,YRI,AFR
Y006,NA19109,NA19107,NA19108,F,YRI,AFR
Y079,NA19115,NA19113,NA19114,F,YRI,AFR
Y060,NA19120,NA19119,NA19116,M,YRI,AFR
Y061,NA19123,NA19121,NA19122,M,YRI,AFR
Y077,NA19129,NA19128,NA19127,F,YRI,AFR
Y101,NA19132,NA19130,NA19131,F,YRI,AFR
Y043,NA19139,NA19138,NA19137,M,YRI,AFR
Y071,NA19142,NA19141,NA19140,M,YRI,AFR
Y074,NA19145,NA19144,NA19143,M,YRI,AFR
Y075,NA19148,NA19146,NA19147,F,YRI,AFR
Y073,NA19151,NA19150,NA19149,F,YRI,AFR
Y072,NA19154,NA19153,NA19152,M,YRI,AFR
Y056,NA19161,NA19160,NA19159,M,YRI,AFR
Y047,NA19173,NA19171,NA19172,M,YRI,AFR
Y100,NA19174,NA19117,NA19118,M,YRI,AFR
Y044,NA19177,NA19175,NA19176,M,YRI,AFR
Y039,NA19186,NA19184,NA19185,M,YRI,AFR
Y111,NA19191,NA19189,NA19190,M,YRI,AFR
Y035,NA19199,NA19198,NA19197,F,YRI,AFR
Y045,NA19202,NA19200,NA19201,F,YRI,AFR
Y048,NA19205,NA19203,NA19204,M,YRI,AFR
Y051,NA19208,NA19207,NA19206,M,YRI,AFR
Y050,NA19211,NA19210,NA19209,M,YRI,AFR
Y110,NA19215,NA19213,NA19214,F,YRI,AFR
Y058,NA19221,NA19223,NA19222,F,YRI,AFR
Y057,NA19224,NA19226,NA19225,M,YRI,AFR
Y116,NA19237,NA19236,NA19235,F,YRI,AFR
Y117,NA19240,NA19239,NA19238,F,YRI,AFR
Y120,NA19249,NA19248,NA19247,M,YRI,AFR
Y092,NA19258,NA19256,NA19257,M,YRI,AFR
m001,NA19650,NA19649,NA19648,M,MXL,AMR
m005,NA19653,NA19652,NA19651,F,MXL,AMR
m006,NA19656,NA19655,NA19654,F,MXL,AMR
m007,NA19659,NA19658,NA19657,F,MXL,AMR
m008,NA19662,NA19661,NA19660,F,MXL,AMR
m012,NA19665,NA19664,NA19663,F,MXL,AMR
m002,NA19671,NA19670,NA19669,F,MXL,AMR
m004,NA19675,NA19679,NA19678,F,MXL,AMR
m004,NA19677,NA19676,NA19675,F,MXL,AMR
m009,NA19680,NA19679,NA19678,F,MXL,AMR
m010,NA19683,NA19682,NA19681,F,MXL,AMR
m011,NA19685,NA19661,NA19660,M,MXL,AMR
m011,NA19686,NA19685,NA19684,F,MXL,AMR
2367,NA19702,NA19700,NA19701,M,ASW,AFR
2368,NA19705,NA19703,NA19704,M,ASW,AFR
m014,NA19718,NA19717,NA19716,F,MXL,AMR
m015,NA19721,NA19720,NA19719,F,MXL,AMR
m016,NA19724,NA19723,NA19722,M,MXL,AMR
m017,NA19727,NA19726,NA19725,M,MXL,AMR
m018,NA19730,NA19729,NA19728,F,MXL,AMR
m019,NA19733,NA19732,NA19731,F,MXL,AMR
m023,NA19748,NA19747,NA19746,F,MXL,AMR
m024,NA19751,NA19750,NA19749,M,MXL,AMR
m026,NA19757,NA19756,NA19755,M,MXL,AMR
m027,NA19760,NA19759,NA19758,F,MXL,AMR
m028,NA19763,NA19762,NA19761,F,MXL,AMR
m031,NA19772,NA19771,NA19770,M,MXL,AMR
m033,NA19775,NA19774,NA19773,F,MXL,AMR
m034,NA19778,NA19777,NA19776,M,MXL,AMR
m035,NA19781,NA19780,NA19779,F,MXL,AMR
m036,NA19784,NA19783,NA19782,M,MXL,AMR
m032,NA19787,NA19786,NA19785,M,MXL,AMR
m037,NA19790,NA19789,NA19788,F,MXL,AMR
m039,NA19796,NA19795,NA19794,M,MXL,AMR
2418,NA19828,NA19818,NA19819,M,ASW,AFR
2424,NA19836,NA19834,NA19835,F,ASW,AFR
2425,NA19902,NA19900,NA19901,F,ASW,AFR
2431,NA19918,NA19916,NA19917,M,ASW,AFR
2427,NA19919,NA19908,NA19909,M,ASW,AFR
2434,NA19924,NA19922,NA19923,F,ASW,AFR
2436,NA19983,NA19982,NA19713,F,ASW,AFR
2446,NA20128,NA20126,NA20127,F,ASW,AFR
2433,NA20129,NA19920,NA19921,F,ASW,AFR
2467,NA20279,NA20278,NA20282,M,ASW,AFR
2494,NA20358,NA20356,NA20357,M,ASW,AFR
